DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.001,25,1.0,0.5,5,0.8356,0.8489,0.8356,0.8282,1416.08,5.06,b
True,0.001,25,1.0,1.0,5,0.8594,0.8671,0.8594,0.8551,1420.82,0.53,b
True,0.001,25,1.0,1.5,5,0.8081,0.8268,0.8081,0.7965,1421.32,0.29,b
True,0.001,25,1.5,0.5,5,0.9115,0.9134,0.9115,0.9105,1417.88,5.06,b
True,0.001,25,1.5,1.0,5,0.9119,0.9142,0.9119,0.9106,1418.53,0.53,b
True,0.001,25,1.5,1.5,5,0.8535,0.8623,0.8535,0.8475,1418.90,0.29,b
False,0.001,50,N/A,N/A,N/A,0.9923,0.9923,0.9923,0.9923,179.81,Sem privacidade diferencial,b
True,0.001,50,0.5,0.5,5,0.7015,0.7561,0.7015,0.6771,715.87,6.95,b
True,0.001,50,0.5,0.5,10,0.6660,0.7397,0.6660,0.6381,714.84,6.95,b
True,0.001,50,0.5,1.0,5,0.6874,0.7357,0.6874,0.6553,714.97,0.78,b
True,0.001,50,0.5,1.0,10,0.6329,0.7235,0.6329,0.6078,717.77,0.78,b
True,0.001,50,0.5,1.5,5,0.6633,0.7191,0.6633,0.6359,715.78,0.42,b
True,0.001,50,0.5,1.5,10,0.7233,0.7638,0.7233,0.6980,715.79,0.42,b
True,0.001,50,1.0,0.5,5,0.7674,0.7937,0.7674,0.7493,714.85,6.95,b
True,0.001,50,1.0,0.5,10,0.7688,0.7871,0.7688,0.7544,717.31,6.95,b
True,0.001,50,1.0,1.0,5,0.7776,0.7909,0.7776,0.7637,715.96,0.78,b
True,0.001,50,1.0,1.0,10,0.7440,0.7761,0.7440,0.7287,714.86,0.78,b
True,0.001,50,1.0,1.5,5,0.7371,0.7748,0.7371,0.7117,713.76,0.42,b
True,0.001,50,1.0,1.5,10,0.7244,0.7666,0.7244,0.6884,714.17,0.42,b
True,0.001,50,1.5,0.5,5,0.8248,0.8434,0.8248,0.8149,714.33,6.95,b
True,0.001,50,1.5,0.5,10,0.8224,0.8327,0.8224,0.8143,715.38,6.95,b
True,0.001,50,1.5,1.0,5,0.8170,0.8317,0.8170,0.8058,714.45,0.78,b
True,0.001,50,1.5,1.0,10,0.7836,0.8128,0.7836,0.7641,714.07,0.78,b
True,0.001,50,1.5,1.5,5,0.8142,0.8312,0.8142,0.8066,714.86,0.42,b
True,0.001,50,1.5,1.5,10,0.7967,0.8196,0.7967,0.7852,714.43,0.42,b
False,0.001,100,N/A,N/A,N/A,0.9876,0.9876,0.9876,0.9876,97.30,Sem privacidade diferencial,b
True,0.001,100,0.5,0.5,5,0.5666,0.6209,0.5666,0.5356,363.07,9.62,b
True,0.001,100,0.5,0.5,10,0.5737,0.6557,0.5737,0.5410,361.85,9.62,b
True,0.001,100,0.5,1.0,5,0.6180,0.6822,0.6180,0.5901,363.23,1.15,b
True,0.001,100,0.5,1.0,10,0.6153,0.6338,0.6153,0.5914,362.63,1.15,b
True,0.001,100,0.5,1.5,5,0.5278,0.5759,0.5278,0.4762,362.01,0.61,b
True,0.001,100,0.5,1.5,10,0.5677,0.6506,0.5677,0.5383,361.69,0.61,b
True,0.001,100,1.0,0.5,5,0.6626,0.7370,0.6626,0.6235,362.36,9.62,b
True,0.001,100,1.0,0.5,10,0.6373,0.7338,0.6373,0.6222,362.89,9.62,b
